# cmd: kubectl get events -A
# at: 2026-09-17T05:14:26Z

NAMESPACE            LAST SEEN   TYPE      REASON                    OBJECT                                                      MESSAGE
kube-system          40m         Normal    Created                   pod/etcd-chaos-control-plane                                Created container etcd
kube-system          40m         Normal    Started                   pod/etcd-chaos-control-plane                                Started container etcd
kube-system          39h         Normal    SandboxChanged            pod/kindnet-74tbj                                           Pod sandbox changed, it will be killed and re-created.
kube-system          39h         Normal    Pulled                    pod/kindnet-74tbj                                           Container image "docker.io/kindest/kindnetd:v20241108-5c6d2daf" already present on machine
kube-system          39h         Normal    Created                   pod/kindnet-74tbj                                           Created container kindnet-cni
kube-system          39h         Normal    Started                   pod/kindnet-74tbj                                           Started container kindnet-cni
kube-system          40m         Normal    SandboxChanged            pod/kindnet-74tbj                                           Pod sandbox changed, it will be killed and re-created.
kube-system          40m         Normal    Pulled                    pod/kindnet-74tbj                                           Container image "docker.io/kindest/kindnetd:v20241108-5c6d2daf" already present on machine
kube-system          40m         Normal    Created                   pod/kindnet-74tbj                                           Created container kindnet-cni
kube-system          40m         Normal    Started                   pod/kindnet-74tbj                                           Started container kindnet-cni
kube-system          39h         Normal    SandboxChanged            pod/kube-apiserver-chaos-control-plane                      Pod sandbox changed, it will be killed and re-created.
kube-system          39h         Normal    Pulled                    pod/kube-apiserver-chaos-control-plane                      Container image "registry.k8s.io/kube-apiserver:v1.31.0" already present on machine
kube-system          39h         Normal    Created                   pod/kube-apiserver-chaos-control-plane                      Created container kube-apiserver
kube-system          39h         Normal    Started                   pod/kube-apiserver-chaos-control-plane                      Started container kube-apiserver
kube-system          40m         Normal    SandboxChanged            pod/kube-apiserver-chaos-control-plane                      Pod sandbox changed, it will be killed and re-created.
kube-system          40m         Normal    Pulled                    pod/kube-apiserver-chaos-control-plane                      Container image "registry.k8s.io/kube-apiserver:v1.31.0" already present on machine
kube-system          40m         Normal    Created                   pod/kube-apiserver-chaos-control-plane                      Created container kube-apiserver
kube-system          40m         Normal    Started                   pod/kube-apiserver-chaos-control-plane                      Started container kube-apiserver
